airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,tc2,tc3,sc2,sc3
apex16,ok,,38.838708092,752414711.21,490355.00339,1722651.3521,66445577.722,1389253.9908,58895524.468,0.23225287881,0.020258541403,0.12058818684,0.029809548555
a18sm,ok,,38.788114629,751434573.93,145623.97304,783913.14965,67006707.386,479163.60666,59242891.088,0.23473157361,0.026234297788,0.046549427806,0.044883934009
clarkyh,ok,,38.915570697,753903755.45,443717.82773,1643527.0646,66717295.439,1250496.1262,59372068.311,0.23217759209,0.04537039124,0.038144338418,0.063687803858
c141a,ok,,39.501598249,765256752.83,600115.81442,1888532.9662,67675998.911,1614632.9281,62060807.876,0.23636379865,0.0078582918197,0.11418978526,0.01195308256
dae11,ok,,37.782090414,731945063.08,468685.91819,2433339.3815,64202754.939,1569978.6198,53883779.416,0.20961392165,0.04529379436,0.056899774261,0.077338781485
du-80-176-v1,ok,,38.94841219,754539987.28,952593.73402,3450648.5463,65841318.787,2756571.4928,58721003.333,0.2235380843,0.023339220045,0.093864119742,0.032219686971
ds19,ok,,36.964649386,716108937.68,196791.11036,858666.39258,64315024.932,546360.08904,51652026.13,0.21197655193,0.015220616522,0.022666658734,0.023351554102
ag45c03,ok,,35.589904152,689476266.59,109767.3446,623212.39296,62972752.268,311894.10279,47106373.015,0.19790908027,0.0208279299,-0.026046626411,0.02707355543
ds21,ok,,37.014105482,717067040.97,204222.6564,874400.38113,64380544.189,563217.95536,51839468.465,0.21243208765,0.013509772428,0.023162625959,0.020926768822
du861372,ok,,38.3659187,743255454.6,569320.51497,2043532.6085,65683493.211,1578423.2813,56772102.066,0.22422122189,0.00018445784619,0.1016887777,-0.00034662031707
e1214,ok,,39.797904897,770997043.69,1013182.0604,3901711.0573,66809446.8,3099566.8699,62229520.264,0.22078673475,0.014248630279,-0.039034997191,0.024990835981
e169,ok,,38.371496915,743363520.26,534117.65025,2153654.6311,65694825.271,1552444.8315,56844407.604,0.21967249879,-4.5734410266e-11,-0.0249410372,7.9435245085e-11
e210,ok,,38.744190446,750583639.3,515945.59414,2068187.2581,66101631.018,1542398.1104,58315505.169,0.22531414646,0.030038481155,0.026829990626,0.046245343716
e342,error,Case failed and returned no VABS output.,,,,,,,,,,,
e432,ok,,38.926040922,754106593.08,785517.69474,2907072.6583,65943011.116,2306110.8117,58736700.182,0.22353438221,0.031795386,0.078449416264,0.049473510556
e433,ok,,38.806510211,751790947.94,662728.12415,2378942.1238,66088262.357,1895048.1416,58500624.096,0.22683006413,0.030509103707,0.11561879508,0.045815798823
e473,ok,,39.543989865,766077997.33,685349.73456,2588157.6716,67230602.492,2012141.3664,61804150.561,0.22631218813,1.3633057791e-10,-0.048454774908,2.4204745048e-09
e502,ok,,38.909702749,753790076.84,767479.21843,2623223.1505,66150138.101,2167276.81,58859442.438,0.22979227112,0.0094405656572,0.12201221333,0.015874190838
ebambino7,ok,,37.928013888,734772010.14,108760.67604,430880.33318,66022070.04,286589.80734,55798596.568,0.23201096984,0.025547887957,0.10141150325,0.030538227111
fx05191,error,Case failed and returned no VABS output.,,,,,,,,,,,
fx66h80,ok,,36.717929467,711329280.84,149823.74357,757117.2102,64071729.802,438449.948,50789840.821,0.21159459945,0.011577764751,0.0019538877272,0.025039130486
fx75193,ok,,39.241196283,760212036.37,1119110.6515,4061071.7003,65789356.931,3322597.113,59566322.525,0.22525102592,0.027451169245,0.10947042551,0.040839827717
fx77080,ok,,37.91969169,734610785.83,191212.98675,732046.17366,65841595.138,506985.1497,55621718.769,0.2241131241,3.6011876272e-11,0.019163006887,3.9794208416e-09
